id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:646452698993192960",activity,object,share,2015-09-22T22:35:08.000Z,object,object,http://twitter.com/lolo8683/statuses/646452698993192960,"RT @scandal_redhot: Sorry Volkswagen, Olivia Pope is too busy releasing her own emissions. I guarantee more lethal than yours. #Scandal htt…",object,0,object,low,8,-,-,-
"tag:search.twitter.com,2005:646452708015083520",activity,object,post,2015-09-22T22:35:10.000Z,object,object,http://twitter.com/EnergyDepDay/statuses/646452708015083520,VW emissions scandal explained: This is how Volkswagen is alleged to have cheated http://t.co/UgWGU58JWU via @IBTimesUK #VWemissions  #Doh!,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452707834728453",activity,object,share,2015-09-22T22:35:10.000Z,object,object,http://twitter.com/rodneywedse/statuses/646452707834728453,RT @Drudge_Report_: #Volkswagen: millions of #gas cars could be affected #vw http://t.co/MHjnBmGCYO,object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646453122299129856",activity,object,post,2015-09-22T22:36:49.000Z,object,object,http://twitter.com/jlaich/statuses/646453122299129856,"VW thing just another reason to take a better look at Hyundais and Mazdas, like normal people do",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452987250933761",activity,object,post,2015-09-22T22:36:17.000Z,object,object,http://twitter.com/AutoDigest/statuses/646452987250933761,"Are we sure that VW really cheated or is it the MPG contents is really the problem? 
Could be more this so let's wait and see",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452986680508417",activity,object,post,2015-09-22T22:36:17.000Z,object,object,http://twitter.com/cars4consumers/statuses/646452986680508417,How did #VW pull it off -- until it all came crashing down? http://t.co/77RLC6ckHG https://t.co/LfZ7rwTYcc,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453014144897024",activity,object,share,2015-09-22T22:36:23.000Z,object,object,http://twitter.com/AndreaBarberi62/statuses/646453014144897024,"RT @WSJ: Millions of cars in Volkswagen emissions scandal, Goldman Sachs CEO’s illness and more http://t.co/9qBFvviH9g",object,0,object,low,61,-,-,-
"tag:search.twitter.com,2005:646452937254899712",activity,object,share,2015-09-22T22:36:05.000Z,object,object,http://twitter.com/GeorgeCarpent11/statuses/646452937254899712,RT @DrHarryLime: The Volkswagen emissions scandal is spreading to Europe http://t.co/eCtbkh9Fhh,object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646452938441928707",activity,object,post,2015-09-22T22:36:05.000Z,object,object,http://twitter.com/PureCleaningSvc/statuses/646452938441928707,"Volkswagen Reputation, Share Price Take Beating https://t.co/rF8iVjq6dy",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452937305145344",activity,object,post,2015-09-22T22:36:05.000Z,object,object,http://twitter.com/SLorenzen62/statuses/646452937305145344,"*waits for @VW stocks to bottom out*

*buys 1000 share*

*crosses fingers*",object,0,object,low,0,-,-,-
