id,objectType,actor.id,actor.displayName,actor.followersCount,verb,postedTime,generator.link,generator.displayName,provider.link,provider.displayName,provider.objectType,link,body,object.postedTime,favoritesCount,twitter_filter_level,retweetCount,info,location,inReplyTo
646712399303589888,activity,415794343,E.W. Niedermeyer,1032,share,2015-09-23T15:47:05.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/Tweetermeyer/statuses/646712399303589888,RT @BertelSchmitt: VW hallway radio: Any exec involved in waving through U.S. diesel models better update CVs,2015-09-23T15:46:20.000Z,0,low,1,-,-,-
646712402214416384,activity,3003702286,CHNG El Paso,223,post,2015-09-23T15:47:06.000Z,http://dlvr.it,dlvr.it,http://www.twitter.com,Twitter,service,http://twitter.com/CHNGElPaso/statuses/646712402214416384,"Volkswagen CEO Resigns, Saying He's 'Shocked' By Emissions Scandal: One day after acknowledging that 11 million… http://t.co/35yTlsnY6u",2015-09-23T15:47:06.000Z,0,low,0,-,-,-
646712400972910592,activity,422354844,Joshua Gaona,15562,post,2015-09-23T15:47:06.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/joshuagaona97/statuses/646712400972910592,"Volkswagen CEO Winterkorn Announces Resignation: Following a week of scandal, Winterkorn says Volkswagen needs... http://t.co/Nk2lbeiE6v",2015-09-23T15:47:06.000Z,0,low,0,-,-,-
646712403489619968,activity,2559091936,Sherri B,1877,post,2015-09-23T15:47:06.000Z,http://www.hootsuite.com,Hootsuite,http://www.twitter.com,Twitter,service,http://twitter.com/BeingPhoebeLux/statuses/646712403489619968,News Update Volkswagen CEO quits over emissions scandal - Volkswagen CEO Martin Winterkorn has resigned over the c... http://t.co/vtY4lIrINm,2015-09-23T15:47:06.000Z,0,low,0,-,-,-
646712414025592832,activity,124954559,Octazûrè Prometheon,577,post,2015-09-23T15:47:09.000Z,http://dlvr.it,dlvr.it,http://www.twitter.com,Twitter,service,http://twitter.com/AzureParagon/statuses/646712414025592832,BREAKING NEWS: Volkswagen CEO says he is stepping down http://t.co/HWtHxkK5R3 http://t.co/PlLCscUKgR,2015-09-23T15:47:09.000Z,0,low,0,-,-,-
646712417582497792,activity,119802433,Carla Gentry,23220,post,2015-09-23T15:47:10.000Z,http://www.hootsuite.com,Hootsuite,http://www.twitter.com,Twitter,service,http://twitter.com/data_nerd/statuses/646712417582497792,"Volkswagen CEO Winterkorn Announces Resignation - Following a week of scandal, Winterkorn says Volkswagen needs a ... http://t.co/7lLCsF9iR6",2015-09-23T15:47:10.000Z,0,low,0,-,-,-
646712418836586496,activity,3352364806,HIG Insurance,155,share,2015-09-23T15:47:10.000Z,https://about.twitter.com/products/tweetdeck,TweetDeck,http://www.twitter.com,Twitter,service,http://twitter.com/HIGinsurance/statuses/646712418836586496,"RT @WBUR: JUST IN: #Volkswagen CEO Martin Winterkorn says he is stepping down, via @AP",2015-09-23T15:11:40.000Z,0,low,2,-,-,-
646712850333962240,activity,506899994,Gary Lagstrom Jr,1761,share,2015-09-23T15:48:53.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/gmlj40/statuses/646712850333962240,RT @CBSEveningNews: JUST IN: @Volkswagen CEO Martin Winterkorn announces resignation amid emissions scandal,2015-09-23T15:27:39.000Z,0,low,12,-,-,-
646712847012134912,activity,38402800,SCOFIELD!!!,987,share,2015-09-23T15:48:52.000Z,http://tapbots.com/tweetbot,Tweetbot for iΟS,http://www.twitter.com,Twitter,service,http://twitter.com/Scofield_Fx/statuses/646712847012134912,"RT @zerohedge: VW employs nearly 600,000 people around the world, and more than a third of the 775,000 people who work in the auto industry…",2015-09-23T15:16:10.000Z,0,low,33,-,-,-
646712846571700224,activity,193555819,Adam Tiouririne,95,post,2015-09-23T15:48:52.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/Tiouririne/statuses/646712846571700224,"Do the Pope, Volkswagen CEO, and Xi Jinping have more in common than we think? http://t.co/ZzgPSffo3R",2015-09-23T15:48:52.000Z,0,low,0,-,-,-
646712849461460992,activity,441416357,Arezow Doost,4626,share,2015-09-23T15:48:53.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/CBS11Arezow/statuses/646712849461460992,"RT @CBSNews: MORE: Volkswagen CEO Martin Winterkorn resigns, says company ""needs a fresh start"" http://t.co/Y8pF3gxdw1 http://t.co/vWjVKa9h…",2015-09-23T15:47:45.000Z,0,low,7,-,-,-
646712851751673856,activity,78054164,Clarissa Bell,959,share,2015-09-23T15:48:53.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/clarissa_bell/statuses/646712851751673856,RT @WilliamsJon: VW CEO Martin Winterkorn resigns: #Volkswagen needs fresh start – am clearing way for fresh start with my resignation http…,2015-09-23T15:11:21.000Z,0,low,6,-,-,-
646712863508164608,activity,245128113,David Gorodyansky,1576,post,2015-09-23T15:48:56.000Z,http://twibble.io,Twibble.io,http://www.twitter.com,Twitter,service,http://twitter.com/AnchorFreeDavid/statuses/646712863508164608,Volkswagen’s emissions crisis is hurting this tiny country http://t.co/m1JuJ9Rwph | https://t.co/EcKPOTl2TN http://t.co/V6x2moltjl,2015-09-23T15:48:56.000Z,0,low,0,-,-,-
646712869871034368,activity,338567078,Ralph Hornsby ,2088,share,2015-09-23T15:48:58.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/RalphHornsby/statuses/646712869871034368,RT @DavidCUnger: Volkswagen Test Rigging Follows a Long Auto Industry Pattern http://t.co/xF3MoBWzcl,2015-09-23T13:05:12.000Z,0,low,5,-,-,-
646712792570048512,activity,338648691,Jake Larkin,436,share,2015-09-23T15:48:39.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/jakelarkin71/statuses/646712792570048512,"RT @MikeIsaac: Full statement from VW CEO Winterkorn, who is resigning. http://t.co/iRJQxSqlj8",2015-09-23T15:07:13.000Z,0,low,26,-,-,-
646712795933855744,activity,24622734,Alex Fitzpatrick,17347,share,2015-09-23T15:48:40.000Z,https://about.twitter.com/products/tweetdeck,TweetDeck,http://www.twitter.com,Twitter,service,http://twitter.com/AlexJamesFitz/statuses/646712795933855744,"RT @CNBCnow: BREAKING: More Volkswagen employees expected to follow CEO Winterkorn out, decisions due on Friday - Senior VW source",2015-09-23T15:48:13.000Z,0,low,3,-,-,-
646712801680052224,activity,227166712,No Trash Music ,648,post,2015-09-23T15:48:41.000Z,http://twitter.com/download/android,Twitter for Android,http://www.twitter.com,Twitter,service,http://twitter.com/LON_knows/statuses/646712801680052224,"I wonder how many people get jail time
http://t.co/D2mS6cCVzZ",2015-09-23T15:48:41.000Z,0,low,0,-,-,-
646712801155674112,activity,103121408,Tiffany Hampton,1162,post,2015-09-23T15:48:41.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/newsportlandme/statuses/646712801155674112,"Statement by VW's CEO Winterkorn on his exit: From Volkwagen's website, posted on Sept. 23, 2015, on the resig... http://t.co/s1DSkuEjNy",2015-09-23T15:48:41.000Z,0,low,0,-,-,-
646712803261177857,activity,564861472,Zandy Hartig,2902,post,2015-09-23T15:48:42.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/zandywithaz/statuses/646712803261177857,Thanks but I already spoke with an AP reporter abt my experience. I'm furious &amp; heartbroken. Wanna buy back my car? https://t.co/OmOHuI7jOV,2015-09-23T15:48:42.000Z,0,low,0,-,-,-
646712805094129664,activity,1400432250,"Angela Griffith, P.E",776,post,2015-09-23T15:48:42.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/AngieGriffithPE/statuses/646712805094129664,"VW Could Fool the #EPA, But It Couldn’t Trick #Chemistry - http://t.co/q5jzZF8obk via @WIRED",2015-09-23T15:48:42.000Z,0,low,0,-,-,-
646712810269986816,activity,21062446,Raul RodriguezJacome,2280,post,2015-09-23T15:48:43.000Z,http://www.apple.com,iOS,http://www.twitter.com,Twitter,service,http://twitter.com/raulrj/statuses/646712810269986816,How Volkswagen Got Away With Diesel Deception - The New York Times #corporate #image #crisis #communications  http://t.co/WgBP11iNr6,2015-09-23T15:48:43.000Z,0,low,0,-,-,-
646712817123397632,activity,28425034,Chapter1-Take1,1015,share,2015-09-23T15:48:45.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/simcarter/statuses/646712817123397632,"RT @MikePattinson: All I know is Herbie would never have lied about his emissions test results. You let him down, #Volkswagen http://t.co/v…",2015-09-22T19:35:09.000Z,0,low,145,-,-,-
646712821040812033,activity,28160194,UK Motoring News,2274,post,2015-09-23T15:48:46.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/motor_mag_news/statuses/646712821040812033,Car News: Would Volkswagen have got away with its pollution fiddle in the UK? - The Guardian http://t.co/Ge30kSqwgi,2015-09-23T15:48:46.000Z,0,low,0,-,-,-
646712822030700544,activity,28160194,UK Motoring News,2274,post,2015-09-23T15:48:46.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/motor_mag_news/statuses/646712822030700544,Car News: Winterkorn resigns as VW boss - Financial Times http://t.co/tS7LIghXei,2015-09-23T15:48:46.000Z,0,low,0,-,-,-
646712822781480960,activity,28160194,UK Motoring News,2274,post,2015-09-23T15:48:46.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/motor_mag_news/statuses/646712822781480960,Car News: Volkswagen hires BP oil spill lawyers to defend emissions cases - The Guardian http://t.co/yuoe0y61fY,2015-09-23T15:48:46.000Z,0,low,0,-,-,-
646712825566642177,activity,567425171,Magnolia Gallery,1126,post,2015-09-23T15:48:47.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/MagnoliaG2012/statuses/646712825566642177,VW scandal set to choke diesel car industry - http://t.co/xZFGbt2u7j http://t.co/HLxH1oW81d via @FT,2015-09-23T15:48:47.000Z,0,low,0,-,-,-
646712830624968704,activity,24489826,Christina King,289,post,2015-09-23T15:48:48.000Z,http://socialcampapp.com,social.camp,http://www.twitter.com,Twitter,service,http://twitter.com/ChristinasTable/statuses/646712830624968704,Next thing will be Teslas aren't really electric and Musk sends minions to put gas in when no one can see... #VWscandal #CorpEthics,2015-09-23T15:48:48.000Z,0,low,0,-,-,-
646712836081606656,activity,1446455844,Samuel,440,post,2015-09-23T15:48:50.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/Samjudewest82/statuses/646712836081606656,VW deal makes me ashamed to be driving such a machine...still  a #jettalover though,2015-09-23T15:48:50.000Z,0,low,0,-,-,-
646712842880741376,activity,35773039,The Atlantic,1093594,share,2015-09-23T15:48:51.000Z,https://about.twitter.com/products/tweetdeck,TweetDeck,http://www.twitter.com,Twitter,service,http://twitter.com/TheAtlantic/statuses/646712842880741376,RT @TheAtlNotes: This just in: Volkswagen's CEO has quit http://t.co/tpckfwubiT,2015-09-23T15:15:34.000Z,0,low,1,-,-,-
646712744775974912,activity,12666052,Peter Richardson,1503,post,2015-09-23T15:48:28.000Z,http://tapbots.com/software/tweetbot/mac,Tweetbot for Mac,http://www.twitter.com,Twitter,service,http://twitter.com/meetar/statuses/646712744775974912,"One never really has flashbacks to owning an air-cooled VW, it’s more like a still life",2015-09-23T15:48:28.000Z,0,low,0,-,-,-
646712747204304896,activity,31301982,Curtis Seal IV,420,post,2015-09-23T15:48:28.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/CurtisFloww/statuses/646712747204304896,I'm really gonna cry if VW goes out of business  https://t.co/tIqQWifCwR,2015-09-23T15:48:28.000Z,0,low,0,-,-,-
646712745115652098,activity,27615545,Tammy Lopez,486,share,2015-09-23T15:48:28.000Z,http://twitter.com/download/android,Twitter for Android,http://www.twitter.com,Twitter,service,http://twitter.com/tammysue120/statuses/646712745115652098,"RT @CBSNews: MORE: Volkswagen CEO Martin Winterkorn resigns, says company ""needs a fresh start"" http://t.co/Y8pF3gxdw1 http://t.co/vWjVKa9h…",2015-09-23T15:47:45.000Z,0,low,3,-,-,-
646712752308776960,activity,20174823,Jason Finau,448,share,2015-09-23T15:48:30.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/jfinau/statuses/646712752308776960,RT @richardhine: When Republicans say we need less regulation because corporations will do the right thing for the planet just tell them #V…,2015-09-23T11:35:08.000Z,0,low,271,-,-,-
646712756318679042,activity,3299739502,Joe Brown,2,post,2015-09-23T15:48:31.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/coolista3/statuses/646712756318679042,"@NPR @publicbill So, do the fines the nation will levy against VW go toward our air quality restoration or into pockets???",2015-09-23T15:48:31.000Z,0,low,0,-,-,object
646712764275257344,activity,20264802,Jason Stein,1555,share,2015-09-23T15:48:33.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/jasonstein/statuses/646712764275257344,"RT @RyanBeeneAN: .@VW executive committee says ""criminal proceedings may be relevant"" and will submit complaint to state prosecutor in Brun…",2015-09-23T15:46:46.000Z,0,low,3,-,-,-
646712769509765120,activity,581439114,Maria Satira,1330,share,2015-09-23T15:48:34.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/MariaWNCT/statuses/646712769509765120,"RT @CBSNews: MORE: Volkswagen CEO Martin Winterkorn resigns, says company ""needs a fresh start"" http://t.co/Y8pF3gxdw1 http://t.co/vWjVKa9h…",2015-09-23T15:47:45.000Z,0,low,6,-,-,-
646712768901595136,activity,3087461469,Tosin Fakile,114,share,2015-09-23T15:48:34.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/TosinWFXL/statuses/646712768901595136,RT @Newsweek: #Volkswagen CEO Martin Winterkorn's statement on his resignation after EPA cheating scandal http://t.co/hmUr5YFWlJ http://t.c…,2015-09-23T15:36:00.000Z,0,low,30,-,-,-
646712777873059840,activity,24134009,Sebastian St. George,130885,post,2015-09-23T15:48:36.000Z,http://dlvr.it,dlvr.it,http://www.twitter.com,Twitter,service,http://twitter.com/YogaArmy/statuses/646712777873059840,VW Chief Steps Down Amid Emissions Testing Scandal http://t.co/j1VMr6mnfn #Forbes,2015-09-23T15:48:36.000Z,0,low,0,-,-,-
646712778166677505,activity,217395723,Nate Bell,3745,share,2015-09-23T15:48:36.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/NateBell4AR/statuses/646712778166677505,"RT @DeCample: Good comedy should be dirtier than Pope Francis, but cleaner than a Volkswagen engine.",2015-09-23T15:47:54.000Z,0,low,1,-,-,-
646712739923038213,activity,410135192,Lisa Amor Petrov,2209,share,2015-09-23T15:48:27.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/laprofe63/statuses/646712739923038213,RT @nationalpost: Anatomy of a cheat: What Volkswagen did and how they got caught http://t.co/0Jeb7QnOZy http://t.co/gC0oqOfRpv,2015-09-23T15:48:04.000Z,0,low,1,-,-,-
646712693420879872,activity,1954280094,The Bangor Insider,205,post,2015-09-23T15:48:16.000Z,http://www.bangorinsider.com,Bangor Insider,http://www.twitter.com,Twitter,service,http://twitter.com/BangorInsider/statuses/646712693420879872,In the news: A Local Look at the VW Emission Issue http://t.co/4DjzyB0Fxt,2015-09-23T15:48:16.000Z,0,low,0,-,-,-
646712693332701184,activity,99519576,Dominique Boutigny,54,share,2015-09-23T15:48:16.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/AlvindeDiaspar/statuses/646712693332701184,"RT @zeynep: If cars cheat, what else? Voting machines? My NYT piece on the internet of cheating things. http://t.co/g5xRtd2d4H http://t.co/…",2015-09-23T12:58:00.000Z,0,low,188,-,-,-
646712693659934720,activity,1426808491,Brian Burns,31324,post,2015-09-23T15:48:16.000Z,http://www.hootsuite.com,Hootsuite,http://www.twitter.com,Twitter,service,http://twitter.com/brian_tbo/statuses/646712693659934720,@tbocom Volkswagen CEO steps down amid emissions-rigging scandal http://t.co/qbCbXlQavI,2015-09-23T15:48:16.000Z,0,low,0,-,-,-
646712699003490304,activity,208155240,Maria Bartiromo,157969,post,2015-09-23T15:48:17.000Z,http://www.hootsuite.com,Hootsuite,http://www.twitter.com,Twitter,service,http://twitter.com/MariaBartiromo/statuses/646712699003490304,"VW emissions scandal market he end of diesel and VW in the U.S.? http://t.co/nzDdOxfW5O @MorningsMaria @FoxBusiness  Mike Guy
@MrMikeGuy",2015-09-23T15:48:17.000Z,0,low,0,-,-,-
